# id	category	locale	text	aliases
# Bilingual corpus. English is the universal fallback; Spanish is used for es locales.
car_brand_005	car_brands	es	AUDI	
car_brand_006	car_brands	es	BENTLEY	
car_brand_007	car_brands	es	BMW	
car_brand_008	car_brands	es	BUICK	
car_brand_009	car_brands	es	BYD	
car_brand_010	car_brands	es	CADILLAC	
car_brand_011	car_brands	es	CHEVROLET	
car_brand_012	car_brands	es	CHRYSLER	
car_brand_013	car_brands	es	CITROËN	
car_brand_014	car_brands	es	CUPRA	
car_brand_015	car_brands	es	DACIA	
car_brand_016	car_brands	es	DAIHATSU	
car_brand_017	car_brands	es	DODGE	
car_brand_018	car_brands	es	FERRARI	
car_brand_019	car_brands	es	FIAT	
car_brand_020	car_brands	es	FORD	
car_brand_021	car_brands	es	GENESIS	
car_brand_022	car_brands	es	GMC	
car_brand_023	car_brands	es	HONDA	
car_brand_024	car_brands	es	HUMMER	
car_brand_025	car_brands	es	HYUNDAI	
car_brand_026	car_brands	es	INFINITI	
car_brand_027	car_brands	es	ISUZU	
car_brand_028	car_brands	es	JAGUAR	
car_brand_029	car_brands	es	JEEP	
car_brand_030	car_brands	es	KIA	
car_brand_031	car_brands	es	LAMBORGHINI	
car_brand_032	car_brands	es	LANCIA	
car_brand_033	car_brands	es	LAND ROVER	
car_brand_034	car_brands	es	LEXUS	
car_brand_035	car_brands	es	LINCOLN	
car_brand_036	car_brands	es	LOTUS	
car_brand_037	car_brands	es	MASERATI	
car_brand_038	car_brands	es	MAZDA	
car_brand_039	car_brands	es	MCLAREN	
car_brand_040	car_brands	es	MERCEDES-BENZ	
car_brand_041	car_brands	es	MINI	
car_brand_042	car_brands	es	MITSUBISHI	
car_brand_043	car_brands	es	NISSAN	
car_brand_044	car_brands	es	OPEL	
car_brand_045	car_brands	es	PAGANI	
car_brand_046	car_brands	es	PEUGEOT	
car_brand_047	car_brands	es	POLESTAR	
car_brand_048	car_brands	es	PONTIAC	
car_brand_049	car_brands	es	PORSCHE	
car_brand_050	car_brands	es	RAM	
car_brand_051	car_brands	es	RENAULT	
car_brand_052	car_brands	es	ROLLS-ROYCE	
car_brand_053	car_brands	es	SAAB	
car_brand_054	car_brands	es	SEAT	
car_brand_055	car_brands	es	ŠKODA	
car_brand_056	car_brands	es	SMART	
car_brand_057	car_brands	es	SUBARU	
car_brand_058	car_brands	es	SUZUKI	
car_brand_059	car_brands	es	TESLA	
car_brand_060	car_brands	es	TOYOTA	
car_brand_061	car_brands	es	VOLKSWAGEN	
car_brand_062	car_brands	es	VOLVO	
rock_band_001	rock_bands	es	THE BEATLES	
rock_band_002	rock_bands	es	THE ROLLING STONES	
rock_band_003	rock_bands	es	LED ZEPPELIN	
rock_band_004	rock_bands	es	PINK FLOYD	
rock_band_005	rock_bands	es	QUEEN	
rock_band_006	rock_bands	es	THE WHO	
rock_band_007	rock_bands	es	THE DOORS	
rock_band_008	rock_bands	es	DEEP PURPLE	
rock_band_009	rock_bands	es	BLACK SABBATH	
rock_band_010	rock_bands	es	AEROSMITH	
rock_band_011	rock_bands	es	KISS	
rock_band_012	rock_bands	es	AC/DC	
rock_band_013	rock_bands	es	FLEETWOOD MAC	
rock_band_014	rock_bands	es	EAGLES	
rock_band_015	rock_bands	es	DIRE STRAITS	
rock_band_016	rock_bands	es	GENESIS	
rock_band_017	rock_bands	es	YES	
rock_band_018	rock_bands	es	RUSH	
rock_band_019	rock_bands	es	JOURNEY	
rock_band_020	rock_bands	es	FOREIGNER	
rock_band_021	rock_bands	es	BOSTON	
rock_band_022	rock_bands	es	TOTO	
rock_band_023	rock_bands	es	SUPERTRAMP	
rock_band_024	rock_bands	es	ELECTRIC LIGHT ORCHESTRA	
rock_band_025	rock_bands	es	LYNYRD SKYNYRD	
rock_band_026	rock_bands	es	ZZ TOP	
rock_band_027	rock_bands	es	VAN HALEN	
rock_band_028	rock_bands	es	DEF LEPPARD	
rock_band_029	rock_bands	es	BON JOVI	
rock_band_030	rock_bands	es	GUNS N' ROSES	
rock_band_031	rock_bands	es	METALLICA	
rock_band_032	rock_bands	es	IRON MAIDEN	
rock_band_033	rock_bands	es	JUDAS PRIEST	
rock_band_034	rock_bands	es	SCORPIONS	
rock_band_035	rock_bands	es	MOTÖRHEAD	
rock_band_036	rock_bands	es	MEGADETH	
rock_band_037	rock_bands	es	SLAYER	
rock_band_038	rock_bands	es	ANTHRAX	
rock_band_039	rock_bands	es	PANTERA	
rock_band_040	rock_bands	es	SEPULTURA	
rock_band_041	rock_bands	es	DREAM THEATER	
rock_band_042	rock_bands	es	EUROPE	
rock_band_043	rock_bands	es	WHITESNAKE	
rock_band_044	rock_bands	es	MÖTLEY CRÜE	
rock_band_045	rock_bands	es	POISON	
rock_band_046	rock_bands	es	TWISTED SISTER	
rock_band_047	rock_bands	es	SKID ROW	
rock_band_048	rock_bands	es	ALICE IN CHAINS	
rock_band_049	rock_bands	es	SOUNDGARDEN	
rock_band_050	rock_bands	es	PEARL JAM	
rock_band_051	rock_bands	es	NIRVANA	
rock_band_052	rock_bands	es	FOO FIGHTERS	
rock_band_053	rock_bands	es	STONE TEMPLE PILOTS	
rock_band_054	rock_bands	es	RED HOT CHILI PEPPERS	
rock_band_055	rock_bands	es	THE SMASHING PUMPKINS	
rock_band_056	rock_bands	es	RADIOHEAD	
rock_band_057	rock_bands	es	OASIS	
rock_band_058	rock_bands	es	BLUR	
rock_band_059	rock_bands	es	PULP	
rock_band_060	rock_bands	es	THE VERVE	
rock_band_061	rock_bands	es	MUSE	
rock_band_062	rock_bands	es	COLDPLAY	
rock_band_063	rock_bands	es	ARCTIC MONKEYS	
rock_band_064	rock_bands	es	THE STROKES	
rock_band_065	rock_bands	es	THE KILLERS	
rock_band_066	rock_bands	es	KINGS OF LEON	
rock_band_067	rock_bands	es	FRANZ FERDINAND	
rock_band_068	rock_bands	es	LINKIN PARK	
rock_band_069	rock_bands	es	GREEN DAY	
rock_band_070	rock_bands	es	THE OFFSPRING	
rock_band_071	rock_bands	es	BLINK 182	
rock_band_072	rock_bands	es	SUM 41	
rock_band_073	rock_bands	es	PARAMORE	
rock_band_074	rock_bands	es	EVANESCENCE	
rock_band_075	rock_bands	es	GARBAGE	
rock_band_076	rock_bands	es	NO DOUBT	
rock_band_077	rock_bands	es	WEEZER	
rock_band_078	rock_bands	es	R.E.M.	
rock_band_079	rock_bands	es	U2	
rock_band_080	rock_bands	es	THE CURE	
rock_band_081	rock_bands	es	DEPECHE MODE	
rock_band_082	rock_bands	es	NEW ORDER	
rock_band_083	rock_bands	es	JOY DIVISION	
rock_band_084	rock_bands	es	THE SMITHS	
rock_band_085	rock_bands	es	TALKING HEADS	
rock_band_086	rock_bands	es	BLONDIE	
rock_band_087	rock_bands	es	RAMONES	
rock_band_088	rock_bands	es	THE CLASH	
rock_band_089	rock_bands	es	SEX PISTOLS	
rock_band_090	rock_bands	es	DEAD KENNEDYS	
rock_band_091	rock_bands	es	PIXIES	
rock_band_092	rock_bands	es	SONIC YOUTH	
rock_band_093	rock_bands	es	JANE'S ADDICTION	
rock_band_094	rock_bands	es	RAGE AGAINST THE MACHINE	
rock_band_095	rock_bands	es	SYSTEM OF A DOWN	
rock_band_096	rock_bands	es	KORN	
rock_band_097	rock_bands	es	LIMP BIZKIT	
rock_band_098	rock_bands	es	SLIPKNOT	
rock_band_099	rock_bands	es	TOOL	
rock_band_100	rock_bands	es	NINE INCH NAILS	
rock_band_101	rock_bands	es	FAITH NO MORE	
rock_band_102	rock_bands	es	PRIMUS	
rock_band_103	rock_bands	es	THE BLACK KEYS	
rock_band_104	rock_bands	es	THE WHITE STRIPES	
rock_band_105	rock_bands	es	PLACEBO	
rock_band_106	rock_bands	es	INTERPOL	
rock_band_107	rock_bands	es	THE CRANBERRIES	
rock_band_108	rock_bands	es	THE POLICE	
rock_band_109	rock_bands	es	SODA STEREO	
rock_band_110	rock_bands	es	VIRUS	
rock_band_111	rock_bands	es	SUMO	
rock_band_112	rock_bands	es	LOS REDONDOS	
rock_band_113	rock_bands	es	DIVIDIDOS	
rock_band_114	rock_bands	es	LAS PELOTAS	
rock_band_115	rock_bands	es	BABASÓNICOS	
rock_band_116	rock_bands	es	LOS PIOJOS	
rock_band_117	rock_bands	es	LA RENGA	
rock_band_118	rock_bands	es	BERSUIT VERGARABAT	
rock_band_119	rock_bands	es	CATUPECU MACHU	
rock_band_120	rock_bands	es	LOS FABULOSOS CADILLACS	
rock_band_121	rock_bands	es	ENANITOS VERDES	
rock_band_122	rock_bands	es	RATA BLANCA	
rock_band_123	rock_bands	es	AIRBAG	
rock_band_124	rock_bands	es	HÉROES DEL SILENCIO	
rock_band_125	rock_bands	es	EXTREMODURO	
rock_band_126	rock_bands	es	MAGO DE OZ	
rock_band_127	rock_bands	es	BARÓN ROJO	
rock_band_128	rock_bands	es	LOS RODRÍGUEZ	
rock_band_129	rock_bands	es	DUNCAN DHU	
rock_band_130	rock_bands	es	MANÁ	
rock_band_131	rock_bands	es	CAFÉ TACVBA	
rock_band_132	rock_bands	es	MOLOTOV	
rock_band_133	rock_bands	es	ATERCIOPELADOS	
rock_band_134	rock_bands	es	LOS PRISIONEROS	
rock_band_135	rock_bands	es	LOS BUNKERS	
rock_band_136	rock_bands	es	LA LEY	
rock_band_137	rock_bands	es	ZOÉ	
rock_band_138	rock_bands	es	CAIFANES	
rock_band_139	rock_bands	es	LOS TRES	
rock_band_140	rock_bands	es	LEGIÃO URBANA	
rock_band_141	rock_bands	es	TITÃS	
country_001	countries	en	AFGHANISTAN	
country_002	countries	en	ALBANIA	
country_003	countries	en	GERMANY	
country_004	countries	en	ANDORRA	
country_005	countries	en	ANGOLA	
country_006	countries	en	ANTIGUA AND BARBUDA	
country_007	countries	en	SAUDI ARABIA	
country_008	countries	en	ALGERIA	
country_009	countries	en	ARGENTINA	
country_010	countries	en	ARMENIA	
country_011	countries	en	AUSTRALIA	
country_012	countries	en	AUSTRIA	
country_013	countries	en	AZERBAIJAN	
country_014	countries	en	BAHAMAS	
country_015	countries	en	BANGLADESH	
country_016	countries	en	BARBADOS	
country_017	countries	en	BAHRAIN	
country_018	countries	en	BELGIUM	
